Rank,Name,Count,Change  since 2010,Change  since 2001,,,,
1,AMELIA ,"5,054",+4,+31,,,,
2,OLIVIA ,"4,938",-1,+8,,,,
3,LILY ,"4,761",+1,+32,,,,
4,JESSICA ,"3,984",+2,-,,,,
5,EMILY ,"3,974",-2,-3,,,,
6,SOPHIE ,"3,923",-4,-1,,,,
7,RUBY ,"3,702",-,+60,,,,
8,GRACE ,"3,691",+1,+15,,,,
9,AVA ,"3,621",+2,+196*,,,,
10,ISABELLA ,"3,464",+2,+44,,,,
11,EVIE ,"3,385",-1,+81,,,,
12,CHLOE ,"3,347",-4,-11,,,,
13,MIA ,"3,346",-,+12,,,,
14,POPPY ,"2,932",+2,+70,,,,
15,ISLA ,"2,849",+7,+302*,,,,
16,ELLA ,"2,783",+2,+3,,,,
17,ISABELLE ,"2,719",-,+40,,,,
18,SOPHIA ,"2,661",+9,+70,,,,
19,FREYA ,"2,619",-,+33,,,,
20,DAISY ,"2,458",-5,+27,,,,
21,CHARLOTTE ,"2,390",-1,-15,,,,
22,MAISIE ,"2,230",-8,+42,,,,
23,LUCY ,"2,228",-2,-14,,,,
24,PHOEBE ,"2,008",+4,+16,,,,
25,SCARLETT ,"1,987",-1,+131*,,,,
26,HOLLY ,"1,971",-1,-8,,,,
27,LILLY ,"1,950",+12,+240*,,,,
28,ELLIE ,"1,893",+1,-17,,,,
29,MEGAN ,"1,799",-6,-26,,,,
30,LAYLA ,"1,780",+14,+184*,,,,
31,LOLA ,"1,777",+2,+220*,,,,
32,IMOGEN ,"1,773",-6,+24,,,,
33,EVA ,"1,714",+4,+123*,,,,
34,SUMMER ,"1,711",-4,+115*,,,,
35,MILLIE ,"1,641",-3,+6,,,,
36,SIENNA ,"1,585",+11,+413*,,,,
37,ALICE ,"1,554",+6,-9,,,,
38,ABIGAIL ,"1,493",-4,-16,,,,
39,ERIN ,"1,491",-4,+3,,,,
40,LACEY ,"1,475",-4,+359*,,,,
41,HANNAH ,"1,462",-10,-33,,,,
42,JASMINE ,"1,429",-1,-12,,,,
43,FLORENCE ,"1,406",+11,+123*,,,,
44,ELIZABETH ,"1,396",+5,-11,,,,
45,LEXI ,"1,324",+1,+1475*,,,,
46,MOLLY ,"1,322",-4,-31,,,,
47,SOFIA ,"1,249",+15,+139*,,,,
48,MATILDA ,"1,225",+5,+88*,,,,
49,EMMA ,"1,221",-1,-29,,,,
50,BROOKE ,"1,216",-5,+44,,,,
51,AMY ,"1,213",-13,-39,,,,
52,AMBER ,"1,201",-,-16,,,,
53,GRACIE ,"1,162",-2,+218*,,,,
54,AMELIE ,"1,128",+1,+711*,,,,
55,ROSIE ,"1,124",+4,+6,,,,
56,LEAH ,"1,120",-6,-25,,,,
57,KATIE ,"1,105",-17,-44,,,,
58,MAYA ,"1,072",-1,+49*,,,,
59,ELEANOR ,"1,049",+2,-32,,,,
60,GEORGIA ,"1,022",-4,-46,,,,
61,EMILIA ,"1,007",+10,+112*,,,,
62,ELIZA ,955,+31,+161*,,,,
63,FAITH ,914,+2,+61*,,,,
64,BETHANY ,913,-5,-47,,,,
65,EVELYN ,871,+22,+181*,,,,
66,ISABEL ,857,-8,+2,,,,
67,ANNA ,827,-4,-33,,,,
68,HOLLIE ,825,+1,+1,,,,
69,BELLA ,823,+35*,+641*,,,,
70,PAIGE ,811,-7,-24,,,,
71,HARRIET ,809,+15,-1,,,,
72,ESME ,797,+2,+119*,,,,
73,ZARA ,790,+3,+31*,,,,
74,LEXIE ,788,-6,+1285*,,,,
75,WILLOW ,772,+37*,+176*,,,,
76,ROSE ,764,+14,+68*,,,,
77,MADISON ,760,-10,+13,,,,
78,JULIA ,759,-1,+204*,,,,
79,ANNABELLE ,758,+10,+89*,,,,
80,ISOBEL ,754,-5,-25,,,,
81,NIAMH ,733,-3,-32,,,,
82,MADDISON ,731,-1,+79*,,,,
83,MARTHA ,723,+2,+71*,,,,
84,SKYE ,717,-11,+58*,,,,
85,LAUREN ,710,-15,-78,,,,
86,CAITLIN ,708,-20,-65,,,,
87,ELSIE ,699,+21*,+540*,,,,
88,KEIRA ,693,-16,+197*,,,,
88,REBECCA ,693,-6,-72,,,,
90,SARAH ,663,-7,-52,,,,
91,HEIDI ,652,+2,+195*,,,,
92,ZOE ,649,-8,-49,,,,
93,MARIA ,628,-2,+12*,,,,
94,MARYAM ,616,+5,+61*,,,,
95,AISHA ,613,+1,+21*,,,,
95,TIA ,613,-16,-42,,,,
97,NICOLE ,605,-5,-52,,,,
98,KAYLA ,604,+21*,+167*,,,,
99,FRANCESCA ,602,+3*,-23,,,,
100,LYDIA ,589,+7*,-41,,,,